title,author,publisher,beschreibung,fach,regal
Ella und der Neue in der Klasse,Timo Parvela,,Ella und der Neue in der Klasse,10,E
�Die� wilden Hu?hner und das Glu?ck der Erde,,,�Die� wilden Hu?hner und das Glu?ck der Erde,10,E
�Die� wilden Hu?hner auf Klassenfahrt,,,�Die� wilden Hu?hner auf Klassenfahrt,10,E
�Die� Wilden Hu?hner und die Liebe,,,�Die� Wilden Hu?hner und die Liebe,10,E
�Die� wilden Hu?hner,,,�Die� wilden Hu?hner,10,E
�Die� wilden Hu?hner,,,�Die� wilden Hu?hner,10,E
�Die� wilden Hu?hner - Fuchsalarm,,,�Die� wilden Hu?hner - Fuchsalarm,10,E
Klara + Kru?mel,,,Klara + Kru?mel,10,E
Klara + Kru?mel,,,Klara + Kru?mel,10,E
Klara + Kru?mel,,,Klara + Kru?mel,10,E
Klara + Kru?mel,,,Klara + Kru?mel,10,E
Und meine Welt steht Kopf,,,Und meine Welt steht Kopf,10,E
Liebe geht durch alle Zeiten,,,Liebe geht durch alle Zeiten,10,E
Liebe geht durch alle Zeiten,,,Liebe geht durch alle Zeiten,10,E
Saphirblau,Kerstin Gier,,"Sixteen-year-old Gwen, the newest and final member of the secret time-traveling Circle of Twelve, searches through history for the other time-travelers, aided by friend Lesley, James the ghost, Xemerius the gargoyle demon, and Gideon, the Diamond, whose fate seems bound with hers.",10,E
Loving Spirit,Daphne du Maurier,,"***This book is a lush generational novel from the bestselling author of Rebecca. In her acclaimed debut, celebrated author Daphne du Maurier weaves a stunning tale of heartbreaking loss and undying love that knows no bounds.*** Janet, a fearless young woman of soaring strength, longs for the wildness and freedom of the sea. She feels herself pulled fast under its spell, yet she sacrifices her dreams in order to create a family. ***Years later, when she learns of her beloved son's passion for the sea, Janet's spirit awakens, haunting her family and stirring a chain of events that changes them forever.*** Set in a rapturous creation of the Cornish countryside, ***''The Loving Spirit'' is filled with adventure, courage, and an abiding sense of the romantic.-- Publisher.***",9,E
"Pferde, Liebe, Sommerglu?ck",,,"Pferde, Liebe, Sommerglu?ck",9,E
Loving Spirit,Daphne du Maurier,,"***This book is a lush generational novel from the bestselling author of Rebecca. In her acclaimed debut, celebrated author Daphne du Maurier weaves a stunning tale of heartbreaking loss and undying love that knows no bounds.*** Janet, a fearless young woman of soaring strength, longs for the wildness and freedom of the sea. She feels herself pulled fast under its spell, yet she sacrifices her dreams in order to create a family. ***Years later, when she learns of her beloved son's passion for the sea, Janet's spirit awakens, haunting her family and stirring a chain of events that changes them forever.*** Set in a rapturous creation of the Cornish countryside, ***''The Loving Spirit'' is filled with adventure, courage, and an abiding sense of the romantic.-- Publisher.***",9,E
�Die� geheime Benedict-Gesellschaft,,,�Die� geheime Benedict-Gesellschaft,9,E
Lilly,Kevin Henkes,,"Lilly loves everything about school, especially her teacher, but when he asks her to wait a while before showing her new purse, she does something for which she is very sorry later.",9,E
Gretchen mein Ma?dchen,,,Gretchen mein Ma?dchen,9,E
Ben liebt Anna,Peter Härtling,,"When Anna moves to his town from Poland, ten year old Ben, an ordinary boy not very interested in love, discovers that having someone to love is confusing, difficult and wonderful.",9,E
Ich ha?tte nein sagen ko?nnen,,,Ich ha?tte nein sagen ko?nnen,9,E
Tage mit Goldrand,Diane Broeckhoven,,Tage mit Goldrand,9,E
Pauline und die Asphaltpanther,,,Pauline und die Asphaltpanther,9,E
Kino der Liebenden,Janine Teisson,,Kino der Liebenden,9,E
�Das� Insel-Internat,Vanessa Walder,,�Das� Insel-Internat,9,E
Supertyp gesucht,Susanne Fülscher,,Supertyp gesucht,9,E
Mittwochs darf ich spielen,Kirsten Boie,,Mittwochs darf ich spielen,9,E
�Die� Container-Fu?chse,,,�Die� Container-Fu?chse,9,E
Mein Herz knistert auf Papier,Simone Trieder,,Mein Herz knistert auf Papier,9,E
Wenn du ein Geheimnis hast,,,Wenn du ein Geheimnis hast,9,E
"�Der� Sommer, als ich scho?n wurde",,,"�Der� Sommer, als ich scho?n wurde",9,E
Charlottes Traum,Gabi Kreslehner,,Charlottes Traum,9,E
Gestern sprach ich noch mit seinem Vater,Marianne Glomnes,,Gestern sprach ich noch mit seinem Vater,9,E
Cindy macht ihren Weg,Jean Estoril,,Cindy macht ihren Weg,9,E
Zeffy gewinnt das Spiel,,,Zeffy gewinnt das Spiel,9,E
Wer ist Libby Skibner?,,,Wer ist Libby Skibner?,9,E
Tolle Tage,,,Tolle Tage,9,E
High Love,Jane Beaufort,,"Lou Morgan, daughter of an American oil king, had just about everything youth, looks, and a great deal of money. All she needed was a good marriage and she intended to settle for nothing less than a title! So she set out for a tour of the high spots of Europe and in an Austrian winter sports resort met just the man she wanted, in the attractive person of the Baron Alex von Felden. Alex and Lou seemed made for each other-but unfortunately the Baron fell in love with the wrong girl; with Lou's penniless little companion, Valentine Brown. But he needed money to recoup his family fortunes. Would he really marry Valentine, when Lou could give him everything but love?",8,E
Agent auf leisen Pfoten,Frauke Scheunemann,,Agent auf leisen Pfoten,8,E
Denn ich ho?re die Delphine rufen,,,Denn ich ho?re die Delphine rufen,8,E
Ausgefressen,Moritz Matthies,,Ausgefressen,8,E
nan,Ramlee Awang Murshid,,nan,8,E
Tiger macht stark,,,Tiger macht stark,8,E
Oberschnu?ffler Oswald und die Tu?tenbande,,,Oberschnu?ffler Oswald und die Tu?tenbande,8,E
nan,Ramlee Awang Murshid,,nan,8,E
nan,Ramlee Awang Murshid,,nan,8,E
�Ein� Hund namens Freitag,Hilary McKay,,�Ein� Hund namens Freitag,8,E
